"title","site","country","year_release","box_office","director","number_of_subjects","subject","type_of_subject","race_known","subject_race","person_of_color","subject_sex","lead_actor_actress"
"Von Richthofen and Brown","tt0067658","US",1971,NA,"Roger Corman",2,"Manfred von Richtofen","Military","Known","White",FALSE,"Male","John Phillip Law"
"Von Richthofen and Brown","tt0067658","US",1971,NA,"Roger Corman",2,"Roy Brown","Military","Known","White",FALSE,"Male","Don Stroud"
"W.","tt1175491","US",2008,25500000,"Oliver Stone",1,"George W. Bush","World leader","Known","White",FALSE,"Male","Josh Brolin"
"Walk the Line","tt0358273","US",2005,1.2e+08,"James Mangold",1,"Johnny Cash","Musician","Known","White",FALSE,"Male","Joaquin Phoenix"
"Walker","tt0096409","US",1987,257000,"Alex Cox",1,"William Walker","Other","Known","White",FALSE,"Male","Ed Harris"
"Walking Tall Part II","tt0073880","US",1975,NA,"Earl Bellamy",1,"Buford Pusser","Other","Unknown",NA,FALSE,"Male","Bo Svenson"
"What We Do Is Secret","tt0384683","US",2007,58800,"Rodger Grossman",1,"Darby Crash","Singer","Unknown",NA,FALSE,"Male","Shane West"
"What's Love Got to Do with It","tt0108551","US",1993,39100000,"Brian Gibson",1,"Anna Mae Bullock (Tina Turner)","Singer","Known","Multi racial",TRUE,"Female","Angela Bassett"
"When Did You Last See Your Father?","tt0829098","UK",2007,1070000,"Anand Tucker",1,"Blake Morrison","Other","Known","White",FALSE,"Male","Colin Firth"
"Where the Buffalo Roam","tt0081748","US",1980,NA,"Art Linson",1,"Hunter S. Thompson","Media","Unknown",NA,FALSE,"Male","Bill Murray"
"WhiteLightnin'","tt1034419","UK",2009,NA,"Dominic Murphy",1,"Jesco White","Other","Unknown",NA,FALSE,"Male","Edward Hogg"
"Why Do Fools Fall in Love","tt0123324","US",1998,12400000,"Gregory Nava",1,"Frankie Lymon","Musician","Known","African American",TRUE,"Male","Larenz Tate"
"Wild","tt2305051","US",2014,37900000,"Jean-Marc Vall̩e",1,"Cheryl Strayed","Other","Unknown",NA,FALSE,"Female","Reese Witherspoon"
"Wild Bill","tt0114938","US",1995,2170000,"Walter Hill",1,"Wild Bill Hickok","Historical","Known","White",FALSE,"Male","Jeff Bridges"
"Wilde","tt0120514","UK",1997,2160000,"Brian Gilbert",1,"Oscar Wilde","Author","Known","White",FALSE,"Male","Stephen Fry"
"Wilson","tt0037465","US",1944,2e+06,"Henry King",1,"Woodrow Wilson","World leader","Known","White",FALSE,"Male","Alexander Knox"
"Winnie Mandela","tt1551641","Canada",2011,NA,"Darrell Roodt",1,"Winnie Mandela","Government","Known","African",TRUE,"Female","Jennifer Hudson"
"Wired","tt0098660","US",1989,1090000,"Larry Peerce",1,"John Belushi","Comedian","Unknown",NA,FALSE,"Male","Michael Chiklis"
"With a Song in My Heart","tt0045333","US",1952,NA,"Walter Lang",1,"Jane Froman","Musician","Unknown",NA,FALSE,"Female","Susan Hayward"
"Without Limits","tt0119934","US",1998,777000,"Robert Towne",1,"Steve Prefontaine","Athlete","Known","White",FALSE,"Male","Billy Crudup"
"Wittgenstein","tt0108583","UK",1993,NA,"Derek Jarman",1,"Ludwig Wittgenstein","Academic (Philosopher)","Known","White",FALSE,"Male","Clancy Chassay"
"Words and Music","tt0040976","US",1948,NA,"Norman Taurog",2,"Lorenz Hart","Musician","Known","White",FALSE,"Male","Mickey Rooney"
"Words and Music","tt0040976","US",1948,NA,"Norman Taurog",2,"Richard Rogers","Musician","Known","White",FALSE,"Male","Tom Drake"
"Wyatt Earp","tt0111756","US",1994,25100000,"Lawrence Kasdan",1,"Wyatt Earp","Other","Known","White",FALSE,"Male","Kevin Costner"
"Yankee Doodle Dandy","tt0035575","US",1942,NA,"Michael Curtiz",1,"George M. Cohan","Musician","Known","White",FALSE,"Male","James Cagney"
"Young Bess","tt0046564","US",1953,NA,"George Sidney",1,"Elizabeth I","Historical","Known","White",FALSE,"Female","Jean Simmons"
"Young Cassidy","tt0059930","UK",1965,NA,"Jack Cardiff",1,"Sean O'Casey","Author","Known","White",FALSE,"Male","Rod Taylor"
"Young Man with a Horn","tt0043153","US",1950,NA,"Michael Curtiz",1,"Bix Beiderbecke","Musician","Known","White",FALSE,"Male","Kirk Douglas"
"Young Mr. Lincoln","tt0032155","US",1939,NA,"John Ford",1,"Abraham Lincoln","World leader","Known","White",FALSE,"Male","Henry Fonda"
"Young Tom Edison","tt0033289","US",1940,NA,"Norman Taurog",1,"Thomas Edison","Other","Known","White",FALSE,"Male","Mickey Rooney"
"Young Winston","tt0069528","US",1972,NA,"Richard Attenborough",1,"Winston Churchill","World leader","Known","White",FALSE,"Male","Simon Ward"
"Your Cheatin' Heart","tt0058765","US",1964,NA,"Gene Nelson",1,"Hank Williams","Musician","Unknown",NA,FALSE,"Male","George Hamilton"
